month,total_visitors,total_sessions,total_orders_placed,total_pageviews,total_checkouts
2020-04,0,0,0,0,0
2020-05,0,0,0,0,0
2020-06,0,0,0,0,0
2020-07,2,2,0,2,0
2020-08,711,769,0,1609,0
2020-09,1200,1346,1,3336,1
2020-10,3271,3494,13,10215,17
2020-11,2762,3241,3,7729,9
2020-12,3881,4889,4,14016,11
2021-01,3891,4547,1,11201,7
2021-02,1527,1739,1,4962,5
2021-03,2527,3097,0,6825,4
2021-04,1017,1147,1,2618,2
2021-05,894,998,1,2479,3
2021-06,552,627,0,1942,7
2021-07,574,649,1,2057,1
2021-08,801,864,0,2497,8
2021-09,747,874,0,2615,4
2021-10,1628,1742,0,3557,4
2021-11,2463,2697,0,18739,3
2021-12,662,707,1,14912,3
